m,corr,a,wtrig,sigmal,gammanull,alpha,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.5,-1,-0.8,0,0.5,0.1,1,1,2.0260522816413564,0.3831584441195138,0.7037432269223731,0.3785265534544275,2.0305143296718597
0.8,0.2,0.5,-1,-0.8,0,0.75,0.1,1,1,2.9559398448023875,0.4944742258553646,0.6800751583816255,0.490939830321238,2.9588208794633726
0.8,0.2,0.5,-1,-0.6,0,0.25,0.1,1,1,1.482236118748642,0.3203174613740258,0.7402422585665789,0.3146440171667337,1.4877298399806023
0.8,0.2,0.5,-1,-0.6,0,0.5,0.1,1,1,2.027851726952362,0.37618173729775434,0.7176994703863067,0.37130051443078044,2.0319832861423492
0.8,0.2,0.5,-1,-0.6,0,0.75,0.1,1,1,2.9705709576651653,0.48948408410580085,0.6960171623825603,0.48573752767498013,2.973342092294419
0.8,0.2,0.5,-1,-0.3999999999999999,0,0.25,0.1,1,1,1.424258247686887,0.3125910117709263,0.7536869915789973,0.3066312184205596,1.429069548384509
0.8,0.2,0.5,-1,-0.3999999999999999,0,0.5,0.1,1,1,2.0108216290897785,0.3666770653243952,0.7345994796952937,0.3614732765040782,2.014347873685737
0.8,0.2,0.5,-1,-0.3999999999999999,0,0.75,0.1,1,1,2.975767493938221,0.4814225531128274,0.7164197375858243,0.4773793919671364,2.9782126303762197
0.8,0.2,0.5,-1,-0.19999999999999996,0,0.25,0.1,1,1,1.3171490219249649,0.3046027712812774,0.7674607849123748,0.2983387441811582,1.320441223680973
0.8,0.2,0.5,-1,-0.19999999999999996,0,0.5,0.1,1,1,1.958256636258715,0.3539027075634504,0.7547539321981128,0.3482831024875623,1.960613135248423
0.8,0.2,0.5,-1,-0.19999999999999996,0,0.75,0.1,1,1,2.9559384331806666,0.4684131414837373,0.7428651628017868,0.4639410267862296,2.9576349883455517
0.8,0.2,0.5,-1,0,0,0.25,0.1,1,1,1.135996915865471,0.298476443119363,0.7771171976772296,0.2919880679382924,1.135996919125318
0.8,0.2,0.5,-1,0,0,0.5,0.1,1,1,1.8420157625426918,0.3375319568742019,0.7771170959679351,0.33140480523815025,1.8420157432556157
0.8,0.2,0.5,-1,0,0,0.75,0.1,1,1,2.87888960511645,0.4476076893309186,0.7771171680402629,0.4424986256029712,2.8788896203045855
0.8,0.2,0.5,-1,0.20000000000000018,0,0.25,0.1,1,1,0.8898054379672833,0.29806080182166106,0.7729352077874166,0.29164371383694004,0.884471863508382
0.8,0.2,0.5,-1,0.20000000000000018,0,0.5,0.1,1,1,1.6278335192293762,0.31914394596957424,0.7961405832266701,0.3125187383418721,1.6233972460031514
0.8,0.2,0.5,-1,0.20000000000000018,0,0.75,0.1,1,1,2.6837545311971165,0.41569345693703463,0.8187480088301272,0.4096615776475349,2.6798179671168327
0.8,0.2,0.5,-1,0.40000000000000013,0,0.25,0.1,1,1,0.6954949694243198,0.30446943205989624,0.7531171741394932,0.2984530074720153,0.6873494051396847
0.8,0.2,0.5,-1,0.40000000000000013,0,0.5,0.1,1,1,1.3289684484315125,0.30412424438130875,0.79959726937083,0.2972954315914653,1.319207407534122
0.8,0.2,0.5,-1,0.40000000000000013,0,0.75,0.1,1,1,2.29337122282026,0.3730446538863408,0.8555176736802818,0.36594778870389866,2.281698778271675
0.8,0.2,0.5,-1,0.6000000000000001,0,0.25,0.1,1,1,0.6150382829096657,0.3129207690979283,0.7330587052322914,0.307306941146892,0.6073645688593388
0.8,0.2,0.5,-1,0.6000000000000001,0,0.5,0.1,1,1,1.0692352732432542,0.2977158943965392,0.7846375094511016,0.29109826757253443,1.0580222755664237
0.8,0.2,0.5,-1,0.6000000000000001,0,0.75,0.1,1,1,1.7606023837961724,0.3323993679174145,0.8577896247920994,0.32481179591059595,1.7426772937178607
0.8,0.2,0.5,-1,0.8,0,0.25,0.1,1,1,0.5928385208700563,0.3203028033936554,0.718336506276798,0.31498120986963996,0.5859789028763768
0.8,0.2,0.5,-1,0.8,0,0.5,0.1,1,1,0.9217123437688112,0.2980571770557039,0.7657638112897591,0.2917750702135516,0.9119206853210926
0.8,0.2,0.5,-1,0.8,0,0.75,0.1,1,1,1.3489073856444334,0.30887892907943926,0.8293533029334228,0.301570067837666,1.3331246972084045
0.8,0.2,0.5,-1,1,0,0.25,0.1,1,1,0.5923823514904383,0.32621924538567365,0.7076139539281113,0.321107815694339,0.5861204564571381
0.8,0.2,0.5,-1,1,0,0.5,0.1,1,1,0.8488901602960269,0.301136678545104,0.7503650450106099,0.2951438570089446,0.8406087160110474
0.8,0.2,0.5,-1,1,0,0.75,0.1,1,1,1.128984977040828,0.29971034566081006,0.8012277434607765,0.2928238641827015,1.1169894337654118
0.8,0.2,1,0,-1,0,0.25,0.1,1,1,1.7058236468283425,0.5181075568497153,0.4688281624207915,0.50496645777832,1.7211447656154628
