m,corr,a,wtrig,sigmal,gammanull,alpha,r,k,q,n,p,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.8,0.46,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.20825865393914114,1,1.6322070144533782,0.9999999999999999,0.19999999999999996
0.8,0.8,0.46,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124880483601039,1,1.3159575237795778,0.9999999999999999,0.16249999999999998
0.8,0.8,0.46,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.20828282647391672,1,1.6284680613109848,0.9999999999999999,0.19999999999999996
0.8,0.8,0.46,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124965875658441,1,1.3143475688696802,0.9999999999999999,0.16249999999999998
1,0.2,0.06,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9095011253234259,0.999203787046881,0,0.9992037870468811,0.9095015048980708
1,0.2,0.06,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9050444442543663,0.999205144465218,2.32644547280539e-25,0.999205144465218,0.905044603347778
1,0.2,0.06,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9095015010633555,0.9992037870468811,0,0.9992037870468811,0.9095015048980708
1,0.2,0.06,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9050446061624521,0.999205144465218,0,0.999205144465218,0.905044603347778
1,0.2,0.06,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9094708610922174,0.9992040634404743,1.192273553663658,0.9992037870468811,0.9095015048980708
1,0.2,0.06,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.905071212349494,0.9992054028493307,1.1540471778495425,0.999205144465218,0.905044603347778
1,0.2,0.16,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9144250611952683,0.9999999942542298,0.1549172675825846,0.9999999942538041,0.9145141601562506
1,0.2,0.16,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.900928340479275,0.9999999943332415,0.10078856428592958,0.9999999943330812,0.9008911132812496
1,0.2,0.16,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9144526182960343,0.9999999942552019,0.30140377474248675,0.9999999942538041,0.9145141601562506
1,0.2,0.16,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9009752839126246,0.9999999943340165,0.247227069581043,0.9999999943330812,0.9008911132812496
1,0.2,0.16,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9144916381948708,0.9999999942589122,0.7174647623712841,0.9999999942538041,0.9145141601562506
1,0.2,0.16,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9009616547714943,0.999999994337549,0.6754763237989453,0.9999999943330812,0.9008911132812496
1,0.2,0.26,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9235539636133558,0.9999999999999558,0.4813948541046189,0.9999999999999558,0.9125000000000014
1,0.2,0.26,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8903814453097512,0.9999999999999574,0.54721702902656,0.9999999999999574,0.8937500000000007
1,0.2,0.26,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9254960219878008,0.9999999999999557,0.9583630371752626,0.9999999999999558,0.9125000000000014
1,0.2,0.26,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8939139827499359,0.9999999999999574,0.2629881305490144,0.9999999999999574,0.8937500000000007
1,0.2,0.26,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9104719897657844,0.9999999999999557,1.5869355697335648,0.9999999999999558,0.9125000000000014
1,0.2,0.26,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8930584924089473,0.9999999999999575,0.5406173911699591,0.9999999999999574,0.8937500000000007
1,0.2,0.36000000000000004,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.37168854992965816,0.9999999999999999,2.410974300783282,1,0.42500000000000016
1,0.2,0.36000000000000004,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3553027691545489,0.9999999999999999,0,1,0.3968750000000001
1,0.2,0.36000000000000004,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.37151704298714927,0.9999999999999999,2.3967907638624033,1,0.42500000000000016
1,0.2,0.36000000000000004,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3553001617112557,0.9999999999999999,0,1,0.3968750000000001
1,0.2,0.36000000000000004,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3710432725364785,0.9999999999999999,2.4306350185897956,1,0.42500000000000016
1,0.2,0.36000000000000004,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3552580238397644,0.9999999999999999,0,1,0.3968750000000001
1,0.2,0.46,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1976495317071556,0.9999999999999999,1.701685921929404,0.9999999999999999,0.19999999999999996
1,0.2,0.46,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1812413540446113,1,0.740700430547193,0.9999999999999999,0.16249999999999998
1,0.2,0.46,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.19984183692313912,0.9999999999999999,1.550864804195128,0.9999999999999999,0.19999999999999996
1,0.2,0.46,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124512581719068,1,0.7430173114100947,0.9999999999999999,0.16249999999999998
1,0.2,0.46,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1974915362375853,0.9999999999999999,1.3627207521027362,0.9999999999999999,0.19999999999999996
1,0.2,0.46,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124872947986723,1,0.7464348458474236,0.9999999999999999,0.16249999999999998
1,0.4,0.06,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9094087698878146,0.99920433019523,0,0.99920433019523,0.9094086647033688
1,0.4,0.06,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9051277437650622,0.9992056330186879,0,0.9992056330186879,0.9051277160644529
1,0.4,0.06,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9092730868968432,0.9992046102182346,0.9541026276417981,0.99920433019523,0.9094086647033688
1,0.4,0.06,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9052338049266483,0.9992058392260923,0.81978986532462494,0.9992056330186879,0.9051277160644529
1,0.4,0.06,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9092724764626385,0.9992047725795474,1.5058365632699295,0.99920433019523,0.9094086647033688
